"Item ID","Form","Descriptor","Question summary","Response type","Difficulty","Cognitive category","Misconception","Expected answer","Reviewer verdict","Wording issue","Visual issue","Curriculum issue","Recommended action"
"y4-measurement-pre-01-v2","Pre-Test","AC9M4M01","A rain gauge labels 0 mL and 100 mL with 5 equal intervals between them. What does each interval represent?","Selected response","Easy","Recall","scale-interval-value","20 mL","","","","",""
"y4-measurement-pre-02-v2","Pre-Test","AC9M4M01","Read the ruler shown. Enter the pencil's length in centimetres.","Constructed response","Easy","Understanding","scale-interval-value","12.6","","","","",""
"y4-measurement-pre-03-v2","Pre-Test","AC9M4M02","A rectangular sandpit is 6 m long and 3 m wide. Enter its perimeter in metres.","Constructed response","Easy","Understanding","perimeter-vs-area","18","","","","",""
"y4-measurement-pre-04-v2","Pre-Test","AC9M4M03","A swimming session lasts 2 hours. Enter the duration in minutes.","Constructed response","Easy","Understanding","elapsed-time-base-ten","120","","","","",""
"y4-measurement-pre-05-v2","Pre-Test","AC9M4M04","An angle is larger than a right angle but smaller than a straight angle. What is its name?","Selected response","Easy","Understanding","angle-classification-range","Obtuse angle","","","","",""
"y4-measurement-pre-06-v2","Pre-Test","AC9M4M01","Read the fruit scale shown. Enter the mass in grams.","Constructed response","Easy","Application","scale-interval-value","750","","","","",""
"y4-measurement-pre-07-v2","Pre-Test","AC9M4M02","A rectangular tile panel is 8 squares across and 4 squares high. Enter its area in square units.","Constructed response","Moderate","Application","linear-vs-square-units","32","","","","",""
"y4-measurement-pre-08-v2","Pre-Test","AC9M4M03","Art club starts at 3:35 pm and finishes at 4:20 pm. Enter the duration in minutes.","Constructed response","Moderate","Application","elapsed-time-base-ten","45","","","","",""
"y4-measurement-pre-09-v2","Pre-Test","AC9M4M04","A square has four corners. Enter how many of its corners are right angles.","Constructed response","Moderate","Application","rotated-right-angle","4","","","","",""
"y4-measurement-pre-10-v2","Pre-Test","AC9M4M01","Read the measuring jug shown. Enter the amount in millilitres.","Constructed response","Moderate","Application","scale-interval-value","1250","","","","",""
"y4-measurement-pre-11-v2","Pre-Test","AC9M4M02","An enclosed garden has boundary lengths 5 m, 4 m, 3 m, 2 m, 2 m and 4 m. Enter its perimeter in metres.","Constructed response","Moderate","Application","perimeter-vs-area","20","","","","",""
"y4-measurement-pre-12-v2","Pre-Test","AC9M4M03","A movie starts at 6:25 pm and lasts 50 minutes. Enter the finish time as four digits, without punctuation.","Constructed response","Moderate","Application","duration-vs-clock-time","1915","","","","",""
"y4-measurement-pre-13-v2","Pre-Test","AC9M4M04","Two angles both open 60 degrees, but one has longer arms. Which statement is correct?","Selected response","Moderate","Application","angle-arm-length","The angles are equal because arm length does not change the opening.","","","","",""
"y4-measurement-pre-14-v2","Pre-Test","AC9M4M01","Read the greenhouse thermometer shown. Enter the temperature in degrees Celsius.","Constructed response","Moderate","Application","scale-interval-value","18","","","","",""
"y4-measurement-pre-15-v2","Pre-Test","AC9M4M02","One poster covers 30 square units and another covers 24 square units. Enter the difference in square units.","Constructed response","Moderate","Application","linear-vs-square-units","6","","","","",""
"y4-measurement-pre-16-v2","Pre-Test","AC9M4M03","A market opens at 11:40 am and closes at 1:10 pm. Enter how long it is open in minutes.","Constructed response","Moderate","Reasoning","am-pm-boundary","90","","","","",""
