"Item ID","Form","Descriptor","Question summary","Response type","Difficulty","Cognitive category","Misconception","Expected answer","Reviewer verdict","Wording issue","Visual issue","Curriculum issue","Recommended action"
"y2-measurement-pre-01-v2","Pre-Test","AC9M2M01","Which plan would give a fair informal measurement of a book's length?","Selected response","Easy","Recall","non-uniform-units","Place matching units edge to edge","","","","",""
"y2-measurement-pre-02-v2","Pre-Test","AC9M2M02","A sandwich is cut into equal quarters. Enter the number of equal pieces.","Constructed response","Easy","Recall","unequal-fractional-parts","4","","","","",""
"y2-measurement-pre-03-v2","Pre-Test","AC9M2M03","A class plants seeds on 3 March and checks them on 6 March. Enter the number of days between the events.","Constructed response","Easy","Understanding","calendar-inclusive-count","3","","","","",""
"y2-measurement-pre-04-v2","Pre-Test","AC9M2M04","Read the breakfast clock shown. Enter the time as four digits, without punctuation.","Constructed response","Easy","Understanding","analog-hand-role","0700","","","","",""
"y2-measurement-pre-05-v2","Pre-Test","AC9M2M05","An arrow starts pointing east and turns clockwise until it points south. What turn did it make?","Selected response","Easy","Understanding","turn-size-vs-direction","A quarter turn","","","","",""
"y2-measurement-pre-06-v2","Pre-Test","AC9M2M01","Two pencils are measured with the same-sized cubes. One is 9 cubes long and one is 6 cubes long. Enter how many cubes longer the first pencil is.","Constructed response","Easy","Understanding","gaps-or-overlaps","3","","","","",""
"y2-measurement-pre-07-v2","Pre-Test","AC9M2M02","A ribbon is divided into 8 equal sections. One section is one-eighth. Enter the number of equal sections in the whole ribbon.","Constructed response","Easy","Understanding","unequal-fractional-parts","8","","","","",""
"y2-measurement-pre-08-v2","Pre-Test","AC9M2M03","Today is 11 May. Library Day is 4 days later. Enter the date in May of Library Day.","Constructed response","Easy","Understanding","calendar-inclusive-count","15","","","","",""
"y2-measurement-pre-09-v2","Pre-Test","AC9M2M04","Read the recess clock shown. Enter the time as four digits, without punctuation.","Constructed response","Moderate","Application","analog-hand-role","1030","","","","",""
"y2-measurement-pre-10-v2","Pre-Test","AC9M2M05","A robot starts facing north and makes a half turn. Which direction does it face now?","Selected response","Moderate","Application","turn-size-vs-direction","South","","","","",""
"y2-measurement-pre-11-v2","Pre-Test","AC9M2M01","An orange balances 12 identical cubes and an apple balances 8 identical cubes. Enter how many cubes heavier the orange is.","Constructed response","Moderate","Application","non-uniform-units","4","","","","",""
"y2-measurement-pre-12-v2","Pre-Test","AC9M2M01","Three containers hold 5, 9 and 7 of the same cup. Enter the difference between the greatest and least capacities in cups.","Constructed response","Moderate","Application","cross-unit-count-comparison","4","","","","",""
"y2-measurement-pre-13-v2","Pre-Test","AC9M2M02","A fruit bar is broken into 2 pieces, but one piece is much larger. Which statement is correct?","Selected response","Moderate","Application","unequal-fractional-parts","The pieces are not halves because they are not equal.","","","","",""
"y2-measurement-pre-14-v2","Pre-Test","AC9M2M03","A project begins on 18 June and ends on 25 June. Enter the number of days between the dates.","Constructed response","Moderate","Application","calendar-inclusive-count","7","","","","",""
"y2-measurement-pre-15-v2","Pre-Test","AC9M2M04","Read the sports clock shown. Enter the time as four digits, without punctuation.","Constructed response","Moderate","Application","analog-hand-role","0315","","","","",""
"y2-measurement-pre-16-v2","Pre-Test","AC9M2M05","Enter the number of quarter turns in a three-quarter turn.","Constructed response","Moderate","Application","turn-size-vs-direction","3","","","","",""
"y2-measurement-pre-17-v2","Pre-Test","AC9M2M01","A shelf measures 6 large blocks long. Each large block is the same length as 2 small blocks. Enter the shelf's length in small blocks.","Constructed response","Moderate","Application","informal-unit-size-count","12","","","","",""
"y2-measurement-pre-18-v2","Pre-Test","AC9M2M03","Camp starts on 9 August and finishes on 13 August. A student counts 9, 10, 11, 12, 13 and says 5 days between. Enter the correct number of days between the dates.","Constructed response","Challenging","Reasoning","calendar-inclusive-count","4","","","","",""
"y2-measurement-pre-19-v2","Pre-Test","AC9M2M04","The minute hand points to 9 and the hour hand is nearly at 6. Which time is correct?","Selected response","Challenging","Reasoning","quarter-to-hour-name","Quarter to 6","","","","",""
"y2-measurement-pre-20-v2","Pre-Test","AC9M2M01","Mia measures a desk as 7 hand spans. Leo measures it as 10 pencils. Leo says the desk became longer because 10 is greater than 7. Which correction is best?","Selected response","Challenging","Reasoning","cross-unit-count-comparison","The counts cannot be compared until the same-sized unit is used.","","","","",""
"y2-measurement-post-01-v2","Post-Test","AC9M2M01","Which plan fairly measures a marker's length?","Selected response","Easy","Recall","non-uniform-units","Repeat one equal unit from end to end","","","","",""
"y2-measurement-post-02-v2","Post-Test","AC9M2M02","A pizza is divided into equal eighths. Enter the number of equal slices.","Constructed response","Easy","Understanding","unequal-fractional-parts","8","","","","",""
"y2-measurement-post-03-v2","Post-Test","AC9M2M03","A book is borrowed on 4 April and returned on 9 April. Enter the number of days between the dates.","Constructed response","Easy","Understanding","calendar-inclusive-count","5","","","","",""
"y2-measurement-post-04-v2","Post-Test","AC9M2M04","Read the school clock shown. Enter the time as four digits, without punctuation.","Constructed response","Easy","Understanding","analog-hand-role","0830","","","","",""
"y2-measurement-post-05-v2","Post-Test","AC9M2M05","A spinner starts pointing west, turns once all the way around, and finishes pointing west. What turn did it make?","Selected response","Easy","Understanding","turn-size-vs-direction","A full turn","","","","",""
"y2-measurement-post-06-v2","Post-Test","AC9M2M01","Two ribbons are measured with identical counters. One is 14 counters long and one is 9 counters long. Enter the difference in counters.","Constructed response","Moderate","Application","gaps-or-overlaps","5","","","","",""
"y2-measurement-post-07-v2","Post-Test","AC9M2M02","A garden is split into 4 sections, but the sections have different sizes. Which statement is correct?","Selected response","Moderate","Application","unequal-fractional-parts","They are not quarters because the sections are not equal.","","","","",""
"y2-measurement-post-08-v2","Post-Test","AC9M2M03","Today is 7 September. A concert is 6 days later. Enter the date in September of the concert.","Constructed response","Moderate","Application","calendar-inclusive-count","13","","","","",""
"y2-measurement-post-09-v2","Post-Test","AC9M2M04","Read the reading clock shown. Enter the time as four digits, without punctuation.","Constructed response","Moderate","Application","analog-hand-role","1115","","","","",""
"y2-measurement-post-10-v2","Post-Test","AC9M2M05","Enter how many quarter turns make a three-quarter turn.","Constructed response","Moderate","Application","turn-size-vs-direction","3","","","","",""
"y2-measurement-post-11-v2","Post-Test","AC9M2M01","Three toys balance 7, 13 and 10 identical blocks. Enter the difference between the heaviest and lightest toys in blocks.","Constructed response","Moderate","Application","non-uniform-units","6","","","","",""
"y2-measurement-post-12-v2","Post-Test","AC9M2M03","Training starts on 2 October and finishes on 16 October. Enter the number of days between the dates.","Constructed response","Moderate","Application","calendar-inclusive-count","14","","","","",""
"y2-measurement-post-13-v2","Post-Test","AC9M2M04","Read the bus clock shown. Enter the time as four digits, without punctuation.","Constructed response","Moderate","Application","quarter-to-hour-name","0445","","","","",""
"y2-measurement-post-14-v2","Post-Test","AC9M2M01","A red bucket holds 11 scoops and a blue bucket holds 7 of the same scoop. Enter how many more scoops the red bucket holds.","Constructed response","Moderate","Application","cross-unit-count-comparison","4","","","","",""
"y2-measurement-post-15-v2","Post-Test","AC9M2M03","A challenge starts on 30 January and ends on 2 February. January has 31 days. Enter the number of days between the dates.","Constructed response","Moderate","Application","calendar-month-length","3","","","","",""
"y2-measurement-post-16-v2","Post-Test","AC9M2M02","A student draws 8 strips with different widths and calls each strip one-eighth. Which correction is best?","Selected response","Challenging","Reasoning","unequal-fractional-parts","All 8 strips must be equal parts of the same whole.","","","","",""
"y2-measurement-post-17-v2","Post-Test","AC9M2M04","The minute hand points to 9 and the hour hand is nearly at 8. A student writes 8:45. Enter the correct time as four digits, without punctuation.","Constructed response","Challenging","Reasoning","quarter-to-hour-name","0745","","","","",""
"y2-measurement-post-18-v2","Post-Test","AC9M2M05","A robot faces west and turns anticlockwise to face south. A student says it cannot be a quarter turn because it did not start north. Which correction is best?","Selected response","Challenging","Reasoning","turn-size-vs-direction","It is a quarter turn; the starting direction does not change the turn size.","","","","",""
